country_code,artist_name_en,artist_name_ru,type,artist_real_name_en,artist_real_name_ru,year born,lgbt,place_born_en,place_born_ru,place_growup_en,place_growup_ru,bio_en,bio_ru,photo_file
AL,Alis,Алис,SINGER,Alis Kallaçi,Алис Каллачи,2002,,Shkodër,Шкодер,,,TODO: перевести,В 2024 году победил в албанском X Factor.,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/img_6182jpeg/IMG_6182-fill_size%3D2560x1600-focal_point%3D917x593-focal_size%3D491x571-fill_size%3D2560x1600-focal_point%3D917x593-focal_size%3D491x571.jpeg
AM,Simón,Симон,SINGER,Simon Hovhannisyan,Симон Ованнисян,1994,,Hrazdan,Раздан,,,TODO: перевести,,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/simonjpg/Simon-fill_size%3D1600x900-focal_point%3D536x374-focal_size%3D309x251-fill_size%3D1600x900-focal_point%3D536x374-focal_size%3D309x251.jpg
AT,Cosmó,,SINGER,Benjamin Gedeon,Бенджамин Гедеон,2006,,"Budapest, Hungary","Будапешт, Венгрия","Halbturn, Austria","Хальбтурн, Австрия",TODO: перевести,"Один из самых молодых участников конкурса в этом году.
Прошёл в финал немецкого The Voice Kids в 2022 году, где спел две песни Фрэнка Синатры.",https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/vienna_calling__15_owyglxkjpg/Vienna_Calling__15_OwyGLxK-fill_size%3D1600x900-focal_point%3D832x584-focal_size%3D401x470-fill_size%3D1600x900-focal_point%3D832x584-focal_size%3D401x470.jpg
AU,Delta Goodrem,Дельта Гудрем,SINGER,,,1984,,Sydney,Сидней,,,TODO: перевести,"Самая успешная среди музыкантов этого года.
Стала известной в 2002 году, сыграв школьницу Нину в мыльной опере ""Соседи"", которая идёт с 1985 года,
В 2003 году у Дельты была диагностирована Лимфома Ходжкина, редкая форма рака.
В том же году она выпускает альбом, который теперь входит в топ-10 самых продаваемых альбомов Австралии.
Несмотря на борьбу с раком, Дельта построила успешную карьеру: 7 студийных альбомов, 9 топ-1 песен в австралийских чартах, выиграно 3 World Music Awards, 12 ARIA Music Awards, MTV Video Music Award и много чего ещё.
В 2011-2012 годах встречалась с Ником Джонасом , который младше её на 8 лет.
20 лет занимается благотворительностью, написала книгу, играла в Cats, снялась в нескольких фильмах, тренировала начинающих звёзд в The Voice Australia и The Voice Kids.",https://assets.sbs.com.au/dims4/default/062b769/2147483647/strip/true/crop/4962x2791+0+258/resize/1280x720!/quality/90/?url=https%3A%2F%2Fsbs-au-brightspot.s3.ap-southeast-2.amazonaws.com%2F18%2F67%2F1e366b024a5c8e5c0fce5788e396%2F260202-dg-press-04-927-2.jpg
AZ,Jiva,,SINGER,Jamila Hashimova,Джамиля Гашимова,1982,,"Moscow, Russia","Москва, Россия",,,TODO: перевести,Победительница The Voice of Azerbaijan в 2025 году.,"https://static.wixstatic.com/media/1b5dc7_3d086145911f40b490d199be775636fe~mv2.png/v1/fill/w_2500,h_1427,al_c/1b5dc7_3d086145911f40b490d199be775636fe~mv2.png"
BE,Essyla,,SINGER,Alice Van Eesbeeck,Элис Ван Эсбек,1996,,Perwez,Перве,,,TODO: перевести,"Участвовала во втором и пока последнем ""Евровидение: Хор"" в 2019 году.
Заняла второе место на The Voice Belgique в 2020 году, проиграв Жереми Макиесе, который представил Бельгию на Евровидении в 2022 году.
Псевдоним ""Essyla"" появился как перевернутое имя певицы ""Alice"".",https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/essyla-euro_l_rs_ekrztndjpg/ESSYLA%20EURO_L_RS_ekRZTnD-fill_size%3D2560x1600-focal_point%3D973x526-focal_size%3D423x369-fill_size%3D2560x1600-focal_point%3D973x526-focal_size%3D423x369.jpg
BG,Dara,Дара,SINGER,Darina Yotova,Дарина Йотова,1998,,Varna,Варна,,,TODO: перевести,"Заняла третье место на болгарском The X Factor в 2015 году.
Тренер на The Voice of Bulgaria с 2021 года, её подопечные выиграли 2 сезона из этих 4.
Автор 2 студийных альбомов и больше 30 синглов.",https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/1000078466jpg/1000078466-fill_size%3D1600x900-focal_point%3D1960x650-focal_size%3D403x368-fill_size%3D1600x900-focal_point%3D1960x650-focal_size%3D403x368.jpg
CH,Veronica Fusaro,Вероника Фусаро,SINGER,,,1997,,Thun,Тун,,,TODO: перевести,"Участница The Voice of Switzerland в 2014 году.
Выступала на Гластонбери, а также на разогреве у Марка Нопфлера.
Автор 2 студийных альбомов и 20 синглов.",https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/switzerland_edk0ddyjpg/Switzerland_eDk0DdY-fill_size%3D2560x1600-focal_point%3D1219x615-focal_size%3D436x403-fill_size%3D2560x1600-focal_point%3D1219x615-focal_size%3D436x403.jpg
CY,Antigoni,Антигони,SINGER,Antigoni Buxton,Антигони Бакстон,1996,,"London, UK","Лондон, Великобритания",,,TODO: перевести,"Мать Антигони - повар Тоня Бакстон, она ведёт телешоу My Greek Kitchen и My Cypriot Kitchen.
Антигони участвовала в реалити-шоу Love Island.
Она училась в BRIT School, а начала музыкальную карьеру с загрузки треков на SoundCloud и, позже, YouTube.
Выпустила уже больше 20 синглов.",https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/tezza-8111jpg/Tezza-8111-fill_size%3D1600x900-focal_point%3D1127x824-focal_size%3D804x826-fill_size%3D1600x900-focal_point%3D1127x824-focal_size%3D804x826.jpg
CZ,Daniel Zizka,Даниэль Жижка,SINGER,,,2003,,Prague,Прага,,,TODO: перевести,Изучает эстрадное пение и композицию в пражской консерватории им. Ярослава Ежека.,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/daniel-zizka_finals__img7135_dcg99uzjpg/Daniel%20Zizka_finals__IMG7135_dcG99Uz-fill_size%3D2560x1600-focal_point%3D765x673-focal_size%3D418x375-fill_size%3D2560x1600-focal_point%3D765x673-focal_size%3D418x375.jpg
