country_code,country_name_en,country_name_ru,auto_qualify,qualify_streak,non_qualify_streak,last_participation,won_times,national_qualify_type,country_facts_en,country_facts_ru
AL,Albania,Албания,,1,,2025,0,PUBLIC_CONTEST,,
AM,Armenia,Армения,,4,,2025,0,INTERNAL_SELECTION,,
AT,Austria,Австрия,HOST,3,,2025,3,PUBLIC_CONTEST,"Austria won the contest last year, finishing first in the jury vote. This year, Austria is hosting Eurovision in Vienna.","Австрия выиграла конкурс в прошлом году, заняв первое место по итогам голосования жюри. В этом году Австрия принимает Евровидение в Вене."
AU,Australia,Австралия,,,2,2025,0,INTERNAL_SELECTION,"If Australia wins, Eurovision will not be held there, because it would be inconvenient for most European viewers.","В случае победы Австралии, Евровидение не будет проводиться там, потому что это неудобно для большинства европейских зрителей."
AZ,Azerbaijan,Азербайджан,,,3,2025,1,INTERNAL_SELECTION,,
BE,Belgium,Бельгия,,,2,2025,1,INTERNAL_SELECTION,"The Belgian participant is chosen alternately by the Walloon broadcaster RTBF and the Flemish broadcaster VRT. Last year, the Flemish fan favourite Red Sebastian failed to qualify for the final. This year, it is Wallonia’s turn.
According to some media reports, Belgium had initially selected singer Loïc Nottet, who represented Belgium in 2015 with “Rhythm Inside,” but he later withdrew because of Israel’s participation, so the choice had to be changed.","Бельгийского участника выбирают по очереди валлонский бродкастер RTBF и фламандский бродкастер VRT. В прошлом году любимец фанатов фламандец Red Sebastian не смог пройти в финал. В этом году пришла очередь Валлонии.
По информации некоторых СМИ, сначала от Бельгии был выбран певец Лоик Нотте, представлявший Бельгию в 2015 году с песней «Rhythm Inside», но позже он отказался от участия из-за участия Израиля, и выбор пришлось поменять."
BG,Bulgaria,Болгария,,,1,2022,0,PUBLIC_CONTEST,,
CH,Switzerland,Швейцария,,5,,2025,3,INTERNAL_SELECTION,"In 2024, Switzerland won the contest, becoming the leader of the jury vote. A year later, it once again became one of the jury favourites, finishing second, but received no televote points.","В 2024 году Швейцария выиграла конкурс, став лидером голосования жюри. Год спустя она вновь вошла в число фаворитов жюри, заняв второе место, но при этом не набрала ни одного зрительского балла."
CY,Cyprus,Кипр,,,1,2025,0,INTERNAL_SELECTION,"Traditionally, Cyprus almost always gives 12 points to Greece.
","По традиции, Кипр почти всегда отдаёт 12 баллов Греции"
CZ,Czechia,Чехия,,,2,2025,0,INTERNAL_SELECTION,,
DE,Germany,Германия,BIG_FIVE,,,2025,2,PUBLIC_CONTEST,,
DK,Denmark,Дания,,1,,2025,3,PUBLIC_CONTEST,"Last year’s Danish representative, Sissal, tried to make it to Eurovision again, but finished 3rd in the national selection.","Прошлогодняя исполнительница от Дании Sissal снова пыталась попасть на Евровидение, но заняла 3 место на отборе."
EE,Estonia,Эстония,,4,,2025,1,PUBLIC_CONTEST,,
FI,Finland,Финляндия,,5,,2025,1,PUBLIC_CONTEST,,
FR,France,Франция,BIG_FIVE,,,2025,5,INTERNAL_SELECTION,,
GB,United Kingdom,Великобритания,BIG_FIVE,,,2025,5,INTERNAL_SELECTION,"In the United Kingdom, the contest has a large fan base, but the country’s songs are rarely popular. The phrase “0 points to the United Kingdom” has become a meme.","В Великобритании у конкурса большая фан-база, однако песни страны редко пользуются популярностью. Фраза «0 баллов Великобритании» стала мемом."
GE,Georgia,Грузия,,,1,2025,0,INTERNAL_SELECTION,,
GR,Greece,Греция,,2,,2025,1,PUBLIC_CONTEST,,
HR,Croatia,Хорватия,,,1,2025,0,PUBLIC_CONTEST,,
IL,Israel,Израиль,,3,,2025,4,PUBLIC_CONTEST,"Due to Israel’s participation this year, Ireland, Iceland, Spain, the Netherlands, and Slovenia are boycotting Eurovision.
Last year, Israel received the highest number of televote points.","Из-за участия Израиля в этом году Ирландия, Исландия, Испания, Нидерланды и Словения бойкотируют Евровидение.
В прошлом году Израиль набрал больше всех зрительских голосов."
IT,Italy,Италия,BIG_FIVE,,,2025,3,PUBLIC_CONTEST,The last time Italy failed to reach the top 7 was in 2016.,"Последний раз, когда Италия не попала в топ-7, был в 2016 году."
LT,Lithuania,Литва,,5,,2025,0,PUBLIC_CONTEST,,
LU,Luxembourg,Люксембург,,2,,2025,5,PUBLIC_CONTEST,"In the 20th century, Luxembourg was one of the most successful participants, but from 1995 to 2023 the country was absent from the contest.","В XX веке Люксембург входил в число наиболее успешных участников, но в период с 1995 по 2023 год страна отсутствовала на конкурсе."
LV,Latvia,Латвия,,2,,2025,1,PUBLIC_CONTEST,,
MD,Moldova,Молдова,,,1,2024,0,PUBLIC_CONTEST,"Moldova is a fan favourite. It focuses not on powerful vocals, but on fun and lively songs.","Молдова — любимчик фанатов, делает упор не на сильный вокал, а на весёлые и живые песни."
ME,Montenegro,Черногория,,,6,2025,0,PUBLIC_CONTEST,,
MT,Malta,Мальта,,1,,2025,0,PUBLIC_CONTEST,,
NO,Norway,Норвегия,,8,,2025,3,PUBLIC_CONTEST,"This year, Norway could have been represented by Alexander Rybak, the winner of the 2009 contest. However, this time he finished only second in the national selection.","В этом году Норвегию мог представить Александр Рыбак, победитель конкурса 2009 года. Однако на этот раз он занял лишь второе место в национальном отборе."
PL,Poland,Польша,,1,,2025,0,PUBLIC_CONTEST,"Among Eurovision fans, Poland is known for excessive special effects and sexualisation on stage.",Среди фанатов Польша славится избыточными спецэффектами и сексуализацией на сцене
PT,Portugal,Португалия,,5,,2025,1,PUBLIC_CONTEST,"Portugal often sounds noticeably different from other Eurovision participants. The country often relies on melodic, calm songs in Portuguese.","Португалия на Евровидении часто заметно отличается по звучанию от других участников. Страна нередко делает ставку на мелодичные, спокойные песни на португальском языке."
RO,Romania,Румыния,,,1,2023,0,PUBLIC_CONTEST,,
RS,Serbia,Сербия,,,1,2025,1,PUBLIC_CONTEST,,
SE,Sweden,Швеция,,11,,2025,7,PUBLIC_CONTEST,Sweden is considered one of the strongest countries in Eurovision history.,Швеция считается одной из самых сильных стран в истории Евровидения
SM,San Marino,Сан Марино,,1,,2025,0,PUBLIC_CONTEST,,
