odds_type,country_id,country_name,SF,odds_23_04_2026_BETSSON_winner,odds_23_04_2026_BETSSON_qualify,odds_30_04_2026_BETSSON_winner,odds_30_04_2026_BETSSON_qualify
Winner,BE,Belgium,SF1,401,2.25,401,2.5
Winner,EE,Estonia,SF1,501,2.5,501,2
Winner,FI,Finland,SF1,2.3,1.01,2.3,1.01
Winner,GE,Georgia,SF1,501,1.4,501,1.6
Winner,GR,Greece,SF1,10,1.01,6.5,1.01
Winner,HR,Croatia,SF1,67,1.15,81,1.17
Winner,IL,Israel,SF1,13,1.01,11,1.01
Winner,LT,Lithuania,SF1,51,1.35,101,1.3
Winner,MD,Moldova,SF1,67,1.15,81,1.12
Winner,ME,Montenegro,SF1,501,1.45,501,1.5
Winner,PL,Poland,SF1,301,1.5,301,2.1
Winner,PT,Portugal,SF1,501,2.1,501,2
Winner,RS,Serbia,SF1,301,1.12,301,1.17
Winner,SE,Sweden,SF1,16,1.01,26,1.01
Winner,SM,San Marino,SF1,301,5,301,5
Winner,DE,Germany,SF1_AUTO,201,,201,
Winner,IT,Italy,SF1_AUTO,26,,29,
Winner,AL,Albania,SF2,251,1.25,251,1.25
Winner,AM,Armenia,SF2,151,2,201,1.8
Winner,AU,Australia,SF2,8.5,1.01,8.5,1.01
Winner,AZ,Azerbaijan,SF2,501,7,501,7
Winner,BG,Bulgaria,SF2,51,1.1,67,1.1
Winner,CH,Switzerland,SF2,301,2.3,301,2.3
Winner,CY,Cyprus,SF2,51,1.14,51,1.14
Winner,CZ,Czechia,SF2,51,1.14,67,1.14
Winner,DK,Denmark,SF2,7,1.01,6.5,1.01
Winner,LU,Luxembourg,SF2,81,2.65,101,2.65
Winner,LV,Latvia,SF2,151,1.5,151,1.5
Winner,MT,Malta,SF2,67,1.18,67,1.18
Winner,NO,Norway,SF2,101,1.25,101,1.25
Winner,RO,Romania,SF2,23,1.1,26,1.1
Winner,UA,Ukraine,SF2,29,1.01,34,1.01
Winner,AT,Austria,SF2_AUTO,401,,401,
Winner,FR,France,SF2_AUTO,6.5,,7,
Winner,GB,United Kingdom,SF2_AUTO,81,,126,
