country_code,country_name_en,country_name_ru,basic_stats_en,basic_stats_ru,eurovision_stats_en,eurovision_stats_ru,wikidata_qid
MD,Moldova,TODO: Moldova,Template: basic country stats for Moldova.,Шаблон: базовая статистика для Moldova.,Template: Eurovision stats for Moldova.,Шаблон: статистика Евровидения для Moldova.,
SE,Sweden,TODO: Sweden,Template: basic country stats for Sweden.,Шаблон: базовая статистика для Sweden.,Template: Eurovision stats for Sweden.,Шаблон: статистика Евровидения для Sweden.,
HR,Croatia,TODO: Croatia,Template: basic country stats for Croatia.,Шаблон: базовая статистика для Croatia.,Template: Eurovision stats for Croatia.,Шаблон: статистика Евровидения для Croatia.,
GR,Greece,TODO: Greece,Template: basic country stats for Greece.,Шаблон: базовая статистика для Greece.,Template: Eurovision stats for Greece.,Шаблон: статистика Евровидения для Greece.,
PT,Portugal,TODO: Portugal,Template: basic country stats for Portugal.,Шаблон: базовая статистика для Portugal.,Template: Eurovision stats for Portugal.,Шаблон: статистика Евровидения для Portugal.,
GE,Georgia,TODO: Georgia,Template: basic country stats for Georgia.,Шаблон: базовая статистика для Georgia.,Template: Eurovision stats for Georgia.,Шаблон: статистика Евровидения для Georgia.,
FI,Finland,TODO: Finland,Template: basic country stats for Finland.,Шаблон: базовая статистика для Finland.,Template: Eurovision stats for Finland.,Шаблон: статистика Евровидения для Finland.,
ME,Montenegro,TODO: Montenegro,Template: basic country stats for Montenegro.,Шаблон: базовая статистика для Montenegro.,Template: Eurovision stats for Montenegro.,Шаблон: статистика Евровидения для Montenegro.,
EE,Estonia,TODO: Estonia,Template: basic country stats for Estonia.,Шаблон: базовая статистика для Estonia.,Template: Eurovision stats for Estonia.,Шаблон: статистика Евровидения для Estonia.,
IL,Israel,TODO: Israel,Template: basic country stats for Israel.,Шаблон: базовая статистика для Israel.,Template: Eurovision stats for Israel.,Шаблон: статистика Евровидения для Israel.,
BE,Belgium,TODO: Belgium,Template: basic country stats for Belgium.,Шаблон: базовая статистика для Belgium.,Template: Eurovision stats for Belgium.,Шаблон: статистика Евровидения для Belgium.,
LT,Lithuania,TODO: Lithuania,Template: basic country stats for Lithuania.,Шаблон: базовая статистика для Lithuania.,Template: Eurovision stats for Lithuania.,Шаблон: статистика Евровидения для Lithuania.,
SM,San Marino,TODO: San Marino,Template: basic country stats for San Marino.,Шаблон: базовая статистика для San Marino.,Template: Eurovision stats for San Marino.,Шаблон: статистика Евровидения для San Marino.,
PL,Poland,TODO: Poland,Template: basic country stats for Poland.,Шаблон: базовая статистика для Poland.,Template: Eurovision stats for Poland.,Шаблон: статистика Евровидения для Poland.,
RS,Serbia,TODO: Serbia,Template: basic country stats for Serbia.,Шаблон: базовая статистика для Serbia.,Template: Eurovision stats for Serbia.,Шаблон: статистика Евровидения для Serbia.,
BG,Bulgaria,TODO: Bulgaria,Template: basic country stats for Bulgaria.,Шаблон: базовая статистика для Bulgaria.,Template: Eurovision stats for Bulgaria.,Шаблон: статистика Евровидения для Bulgaria.,
AZ,Azerbaijan,TODO: Azerbaijan,Template: basic country stats for Azerbaijan.,Шаблон: базовая статистика для Azerbaijan.,Template: Eurovision stats for Azerbaijan.,Шаблон: статистика Евровидения для Azerbaijan.,
RO,Romania,TODO: Romania,Template: basic country stats for Romania.,Шаблон: базовая статистика для Romania.,Template: Eurovision stats for Romania.,Шаблон: статистика Евровидения для Romania.,
LU,Luxembourg,TODO: Luxembourg,Template: basic country stats for Luxembourg.,Шаблон: базовая статистика для Luxembourg.,Template: Eurovision stats for Luxembourg.,Шаблон: статистика Евровидения для Luxembourg.,
CZ,Czechia,TODO: Czechia,Template: basic country stats for Czechia.,Шаблон: базовая статистика для Czechia.,Template: Eurovision stats for Czechia.,Шаблон: статистика Евровидения для Czechia.,
AM,Armenia,TODO: Armenia,Template: basic country stats for Armenia.,Шаблон: базовая статистика для Armenia.,Template: Eurovision stats for Armenia.,Шаблон: статистика Евровидения для Armenia.,
CH,Switzerland,TODO: Switzerland,Template: basic country stats for Switzerland.,Шаблон: базовая статистика для Switzerland.,Template: Eurovision stats for Switzerland.,Шаблон: статистика Евровидения для Switzerland.,
CY,Cyprus,TODO: Cyprus,Template: basic country stats for Cyprus.,Шаблон: базовая статистика для Cyprus.,Template: Eurovision stats for Cyprus.,Шаблон: статистика Евровидения для Cyprus.,
