round,country_code,bookmaker,odds,as_of_date
OVERALL,MD,TemplateBookmaker,100/1,2026-04-20
OVERALL,SE,TemplateBookmaker,100/1,2026-04-20
OVERALL,HR,TemplateBookmaker,100/1,2026-04-20
OVERALL,GR,TemplateBookmaker,100/1,2026-04-20
OVERALL,PT,TemplateBookmaker,100/1,2026-04-20
OVERALL,GE,TemplateBookmaker,100/1,2026-04-20
OVERALL,FI,TemplateBookmaker,100/1,2026-04-20
OVERALL,ME,TemplateBookmaker,100/1,2026-04-20
OVERALL,EE,TemplateBookmaker,100/1,2026-04-20
OVERALL,IL,TemplateBookmaker,100/1,2026-04-20
OVERALL,BE,TemplateBookmaker,100/1,2026-04-20
OVERALL,LT,TemplateBookmaker,100/1,2026-04-20
OVERALL,SM,TemplateBookmaker,100/1,2026-04-20
OVERALL,PL,TemplateBookmaker,100/1,2026-04-20
OVERALL,RS,TemplateBookmaker,100/1,2026-04-20
OVERALL,BG,TemplateBookmaker,100/1,2026-04-20
OVERALL,AZ,TemplateBookmaker,100/1,2026-04-20
OVERALL,RO,TemplateBookmaker,100/1,2026-04-20
OVERALL,LU,TemplateBookmaker,100/1,2026-04-20
OVERALL,CZ,TemplateBookmaker,100/1,2026-04-20
OVERALL,AM,TemplateBookmaker,100/1,2026-04-20
OVERALL,CH,TemplateBookmaker,100/1,2026-04-20
OVERALL,CY,TemplateBookmaker,100/1,2026-04-20
OVERALL,LV,TemplateBookmaker,100/1,2026-04-20
OVERALL,DK,TemplateBookmaker,100/1,2026-04-20
OVERALL,AU,TemplateBookmaker,100/1,2026-04-20
OVERALL,UA,TemplateBookmaker,100/1,2026-04-20
OVERALL,AL,TemplateBookmaker,100/1,2026-04-20
OVERALL,MT,TemplateBookmaker,100/1,2026-04-20
OVERALL,NO,TemplateBookmaker,100/1,2026-04-20
OVERALL,AT,TemplateBookmaker,100/1,2026-04-20
OVERALL,FR,TemplateBookmaker,100/1,2026-04-20
OVERALL,DE,TemplateBookmaker,100/1,2026-04-20
OVERALL,IT,TemplateBookmaker,100/1,2026-04-20
OVERALL,GB,TemplateBookmaker,100/1,2026-04-20
